"","trimestre","instrucao","setor","rendimento_medio_nominal"
"215","2020/3T","Superior incompleto ou equivalente","Comércio, reparação de veículos automotores e motocicletas",2457.89
"216","2020/3T","Superior completo","Comércio, reparação de veículos automotores e motocicletas",3811.4
"217","2020/3T","Sem instrução e menos de 1 ano de estudo","Transporte, armazenagem e correio ",911.61
"218","2020/3T","Fundamental incompleto ou equivalente","Transporte, armazenagem e correio ",1883.79
"219","2020/3T","Fundamental completo ou equivalente","Transporte, armazenagem e correio ",1976.5
"220","2020/3T","Médio incompleto ou equivalente","Transporte, armazenagem e correio ",1792
"221","2020/3T","Médio completo ou equivalente","Transporte, armazenagem e correio ",2089.83
"222","2020/3T","Superior incompleto ou equivalente","Transporte, armazenagem e correio ",2197.88
"223","2020/3T","Superior completo","Transporte, armazenagem e correio ",4128.69
"224","2020/3T","Sem instrução e menos de 1 ano de estudo","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1662.81
"225","2020/3T","Fundamental incompleto ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1465.25
"226","2020/3T","Fundamental completo ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1491.26
"227","2020/3T","Médio incompleto ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1608.53
"228","2020/3T","Médio completo ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",2055.15
"229","2020/3T","Superior incompleto ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",2620.7
"230","2020/3T","Superior completo","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",5701.6
"231","2020/3T","Sem instrução e menos de 1 ano de estudo","Administração pública, defesa e seguridade social ",1870.24
"232","2020/3T","Fundamental incompleto ou equivalente","Administração pública, defesa e seguridade social ",1428.27
"233","2020/3T","Fundamental completo ou equivalente","Administração pública, defesa e seguridade social ",1616.44
"234","2020/3T","Médio incompleto ou equivalente","Administração pública, defesa e seguridade social ",1432.46
"235","2020/3T","Médio completo ou equivalente","Administração pública, defesa e seguridade social ",2143.15
"236","2020/3T","Superior incompleto ou equivalente","Administração pública, defesa e seguridade social ",2138.28
"237","2020/3T","Superior completo","Administração pública, defesa e seguridade social ",5410.94
"238","2020/3T","Sem instrução e menos de 1 ano de estudo","Outros Serviços",852.78
